model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,42,0,1,99.84038270594401,3e-06,1
Qwen,1.5B,SFT,42,1,1,99.6865682343253,3e-06,1
Qwen,1.5B,SFT,42,2,1,99.67729294293045,3e-06,1
Qwen,1.5B,SFT,42,3,1,99.37755710528158,3e-06,1
Qwen,1.5B,SFT,42,4,1,99.36446206564398,3e-06,1
Qwen,1.5B,SFT,42,5,1,99.35828061096984,3e-06,1
Qwen,1.5B,SFT,42,6,1,98.81049919972756,3e-06,1
Qwen,1.5B,SFT,42,7,1,98.77320836174619,3e-06,1
Qwen,1.5B,SFT,42,8,1,98.75814981111945,3e-06,1
Qwen,1.5B,SFT,42,9,1,98.75026648713362,3e-06,1
Qwen,1.5B,SFT,42,10,1,98.74547609296494,3e-06,1
Qwen,1.5B,SFT,42,11,1,98.73988561551866,3e-06,1
Qwen,1.5B,SFT,42,12,1,98.13675503780264,3e-06,1
Qwen,1.5B,SFT,42,13,1,97.84068399744517,3e-06,1
Qwen,1.5B,SFT,42,14,1,97.75244558464621,3e-06,1
Qwen,1.5B,SFT,42,15,1,97.71693013994383,3e-06,1
Qwen,1.5B,SFT,42,16,1,97.7014627701474,3e-06,1
Qwen,1.5B,SFT,42,17,1,97.69340830050378,3e-06,1
Qwen,1.5B,SFT,42,18,1,97.69221131736045,3e-06,1
Qwen,1.5B,SFT,42,19,1,97.69293586852713,3e-06,1
Qwen,1.5B,SFT,42,20,1,97.72525596808876,3e-06,1
Qwen,1.5B,SFT,42,21,1,97.75839150350971,3e-06,1
Qwen,1.5B,SFT,42,22,1,97.79242688159998,3e-06,1
Qwen,1.5B,SFT,42,23,1,97.82559752714451,3e-06,1
Qwen,1.5B,SFT,42,24,1,97.8591154519742,3e-06,1
Qwen,1.5B,SFT,42,25,1,97.89098138718808,3e-06,1
Qwen,1.5B,SFT,42,26,1,97.9213182182187,3e-06,1
Qwen,1.5B,SFT,42,27,1,97.95011460877154,3e-06,1
Qwen,1.5B,SFT,42,28,1,97.97543827125152,3e-06,1
Qwen,1.5B,SFT,42,29,1,97.99428618885169,3e-06,1
Qwen,1.5B,SFT,42,30,1,98.01040277204038,3e-06,1
Qwen,1.5B,SFT,42,31,1,98.02501033248183,3e-06,1
Qwen,1.5B,SFT,42,32,1,98.03523709527019,3e-06,1
Qwen,1.5B,SFT,42,33,1,98.04609778364792,3e-06,1
Qwen,1.5B,SFT,42,34,1,98.05641601413832,3e-06,1
Qwen,1.5B,SFT,42,35,1,98.06684087057602,3e-06,1
Qwen,1.5B,SFT,42,36,1,98.07598213458026,3e-06,1
