"block_number","training_grail - eval/pass@1","training_grail - eval/pass@1__MIN","training_grail - eval/pass@1__MAX","training_grail - _step","training_grail - _step__MIN","training_grail - _step__MAX"
"7134271","0.1840000000000003","0.1840000000000003","0.1840000000000003","31.5","22","41"
"7134872","0.5444000000000004","0.5444000000000004","0.5444000000000004","1816.5","1807","1826"
"7135472","0.5456000000000001","0.5456000000000001","0.5456000000000001","3672.5","3663","3682"
"7136074","0.5624000000000001","0.5624000000000001","0.5624000000000001","4648.5","4639","4658"
"7136676","0.5532000000000002","0.5532000000000002","0.5532000000000002","6187.5","6178","6197"
"7137273","0.5659999999999997","0.5659999999999997","0.5659999999999997","7960.5","7951","7970"
"7137871","0.6476000000000007","0.6476000000000007","0.6476000000000007","9724.5","9715","9734"
"7138474","0.6775999999999999","0.6775999999999999","0.6775999999999999","11428.5","11419","11438"
"7139075","0.6796000000000003","0.6796000000000003","0.6796000000000003","13201.5","13192","13211"
"7139673","0","0","0","14952.5","14943","14962"
"7140303","0","0","0","16693.5","16684","16703"
"7140935","0","0","0","18388.5","18379","18398"
"7141562","0","0","0","20083.5","20074","20093"
"7142199","0.6651999999999997","0.6651999999999997","0.6651999999999997","21853.5","21844","21863"
