"block_number","trainer_grail - _step","trainer_grail - _step__MIN","trainer_grail - _step__MAX","trainer_grail - training/prefilter/pass@5","trainer_grail - training/prefilter/pass@5__MIN","trainer_grail - training/prefilter/pass@5__MAX"
"6991800","59","59","59","0.10687246312246311","0.10687246312246311","0.10687246312246311"
"6991830","155","155","155","0.13231348729395606","0.13231348729395606","0.13231348729395606"
"6991860","251","251","251","0.10221184371184369","0.10221184371184369","0.10221184371184369"
"6991890","347","347","347","0.11412753912753909","0.11412753912753909","0.11412753912753909"
"6991920","443","443","443","0.15178812415654522","0.15178812415654522","0.15178812415654522"
"6991950","539","539","539","0.17083024919812495","0.17083024919812495","0.17083024919812495"
"6991980","635","635","635","0.23890304427869208","0.23890304427869208","0.23890304427869208"
"6992010","731","731","731","0.22847658294086862","0.22847658294086862","0.22847658294086862"
"6992040","827","827","827","0.32487705409619766","0.32487705409619766","0.32487705409619766"
"6992070","923","923","923","0.3580608415974269","0.3580608415974269","0.3580608415974269"
"6992100","1019","1019","1019","0.3545775525190796","0.3545775525190796","0.3545775525190796"
"6992160","1119","1119","1119","0.4213670610132324","0.4213670610132324","0.4213670610132324"
"6992190","1215","1215","1215","0.4189118916797485","0.4189118916797485","0.4189118916797485"
"6992220","1311","1311","1311","0.47914638780023333","0.47914638780023333","0.47914638780023333"
"6992250","1407","1407","1407","0.4227008503087637","0.4227008503087637","0.4227008503087637"
"6992280","1503","1503","1503","0.45743874016978237","0.45743874016978237","0.45743874016978237"
"6992310","1599","1599","1599","0.49257212588634536","0.49257212588634536","0.49257212588634536"
"6992370","1741","1741","1741","0.5266901327838823","0.5266901327838823","0.5266901327838823"
"6992430","1841","1841","1841","0.546709954847538","0.546709954847538","0.546709954847538"
"6992460","1937","1937","1937","0.49067858002717146","0.49067858002717146","0.49067858002717146"
"6992490","2033","2033","2033","0.5258262037108183","0.5258262037108183","0.5258262037108183"
"6992520","2129","2129","2129","0.5397883984582318","0.5397883984582318","0.5397883984582318"
"6992550","2225","2225","2225","0.5514614745719391","0.5514614745719391","0.5514614745719391"
"6992580","2321","2321","2321","0.5104654117812008","0.5104654117812008","0.5104654117812008"
"6992610","2417","2417","2417","0.5146031153312701","0.5146031153312701","0.5146031153312701"
"6992640","2513","2513","2513","0.5652541261663658","0.5652541261663658","0.5652541261663658"
"6992670","2609","2609","2609","0.5362163326869204","0.5362163326869204","0.5362163326869204"
"6992700","2705","2705","2705","0.5478567485146426","0.5478567485146426","0.5478567485146426"
"6992730","2801","2801","2801","0.5261761465917941","0.5261761465917941","0.5261761465917941"
"6992760","2897","2897","2897","0.5266232959937553","0.5266232959937553","0.5266232959937553"
"6992790","2993","2993","2993","0.5469954861764147","0.5469954861764147","0.5469954861764147"
"6992820","3089","3089","3089","0.5687838114845406","0.5687838114845406","0.5687838114845406"
"6992850","3185","3185","3185","0.5791132856417504","0.5791132856417504","0.5791132856417504"
"6992880","3281","3281","3281","0.5705139132943422","0.5705139132943422","0.5705139132943422"
"6992910","3377","3377","3377","0.5835441970310383","0.5835441970310383","0.5835441970310383"
"6992940","3473","3473","3473","0.5709835118232062","0.5709835118232062","0.5709835118232062"
"6993000","3616","3616","3616","0.5684242657926863","0.5684242657926863","0.5684242657926863"
"6993060","3716","3716","3716","0.5724463243027597","0.5724463243027597","0.5724463243027597"
"6993090","3812","3812","3812","0.5716060811169504","0.5716060811169504","0.5716060811169504"
"6993120","3908","3908","3908","0.6081747439453744","0.6081747439453744","0.6081747439453744"
"6993150","4004","4004","4004","0.5733522993594077","0.5733522993594077","0.5733522993594077"
"6993180","4100","4100","4100","0.6194286445166721","0.6194286445166721","0.6194286445166721"
"6993210","4196","4196","4196","0.5930108501930014","0.5930108501930014","0.5930108501930014"
"6993240","4292","4292","4292","0.6122341012401245","0.6122341012401245","0.6122341012401245"
"6993270","4388","4388","4388","0.5608650668097964","0.5608650668097964","0.5608650668097964"
"6993300","4484","4484","4484","0.5882651022039507","0.5882651022039507","0.5882651022039507"
"6993330","4580","4580","4580","0.6230039491758235","0.6230039491758235","0.6230039491758235"
"6993360","4676","4676","4676","0.5842191244969017","0.5842191244969017","0.5842191244969017"
"6993390","4772","4772","4772","0.6248085354543147","0.6248085354543147","0.6248085354543147"
"6993420","4868","4868","4868","0.6305537331656725","0.6305537331656725","0.6305537331656725"
"6993450","4964","4964","4964","0.6040875689598312","0.6040875689598312","0.6040875689598312"
"6993480","5060","5060","5060","0.6105298051423952","0.6105298051423952","0.6105298051423952"
"6993510","5156","5156","5156","0.5984073116426053","0.5984073116426053","0.5984073116426053"
"6993540","5252","5252","5252","0.6223294329956914","0.6223294329956914","0.6223294329956914"
"6993570","5348","5348","5348","0.5877127842546619","0.5877127842546619","0.5877127842546619"
"6993630","5491","5491","5491","0.6047379103268519","0.6047379103268519","0.6047379103268519"
"6993690","5591","5591","5591","0.6438518574064477","0.6438518574064477","0.6438518574064477"
"6993720","5687","5687","5687","0.6036153937273333","0.6036153937273333","0.6036153937273333"
"6993750","5783","5783","5783","0.6441638755870485","0.6441638755870485","0.6441638755870485"
"6993780","5879","5879","5879","0.6234282976010909","0.6234282976010909","0.6234282976010909"
"6993810","5975","5975","5975","0.6357750666629752","0.6357750666629752","0.6357750666629752"
"6993840","6071","6071","6071","0.6100251244482008","0.6100251244482008","0.6100251244482008"
"6993870","6167","6167","6167","0.6180230660428674","0.6180230660428674","0.6180230660428674"
"6993900","6263","6263","6263","0.6340976862333642","0.6340976862333642","0.6340976862333642"
"6993930","6359","6359","6359","0.6262637148175781","0.6262637148175781","0.6262637148175781"
"6993960","6455","6455","6455","0.6346651291095728","0.6346651291095728","0.6346651291095728"
"6993990","6551","6551","6551","0.6092005183327994","0.6092005183327994","0.6092005183327994"
"6994020","6647","6647","6647","0.6182353830380142","0.6182353830380142","0.6182353830380142"
"6994050","6743","6743","6743","0.6123125108474229","0.6123125108474229","0.6123125108474229"
"6994080","6839","6839","6839","0.6285393883759496","0.6285393883759496","0.6285393883759496"
