"train/global_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MIN","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MAX"
"0","3","3","3","0.02734375","0.02734375","0.02734375"
"1","394","394","394","0.041015625","0.041015625","0.041015625"
"2","785","785","785","0.029296875","0.029296875","0.029296875"
"3","1176","1176","1176","0.037109375","0.037109375","0.037109375"
"4","1567","1567","1567","0.01953125","0.01953125","0.01953125"
"5","1958","1958","1958","0.033203125","0.033203125","0.033203125"
"6","2349","2349","2349","0.04296875","0.04296875","0.04296875"
"7","2740","2740","2740","0.021484375","0.021484375","0.021484375"
"8","3131","3131","3131","0.029296875","0.029296875","0.029296875"
"9","3522","3522","3522","0.0390625","0.0390625","0.0390625"
"10","3913","3913","3913","0.021484375","0.021484375","0.021484375"
"11","4304","4304","4304","0.02734375","0.02734375","0.02734375"
"12","4695","4695","4695","0.02734375","0.02734375","0.02734375"
"13","5086","5086","5086","0.046875","0.046875","0.046875"
"14","5477","5477","5477","0.02734375","0.02734375","0.02734375"
"15","5868","5868","5868","0.025390625","0.025390625","0.025390625"
"16","6259","6259","6259","0.02734375","0.02734375","0.02734375"
"17","6650","6650","6650","0.046875","0.046875","0.046875"
"18","7041","7041","7041","0.04296875","0.04296875","0.04296875"
"19","7432","7432","7432","0.05078125","0.05078125","0.05078125"
"20","7823","7823","7823","0.0234375","0.0234375","0.0234375"
"21","8214","8214","8214","0.01953125","0.01953125","0.01953125"
"22","8605","8605","8605","0.048828125","0.048828125","0.048828125"
"23","8996","8996","8996","0.0234375","0.0234375","0.0234375"
"24","9387","9387","9387","0.02734375","0.02734375","0.02734375"
"25","9778","9778","9778","0.0546875","0.0546875","0.0546875"
"26","10169","10169","10169","0.0546875","0.0546875","0.0546875"
"27","10560","10560","10560","0.05859375","0.05859375","0.05859375"
"28","10951","10951","10951","0.033203125","0.033203125","0.033203125"
"29","11342","11342","11342","0.037109375","0.037109375","0.037109375"
"30","11733","11733","11733","0.0546875","0.0546875","0.0546875"
"31","12124","12124","12124","0.07421875","0.07421875","0.07421875"
"32","12515","12515","12515","0.0546875","0.0546875","0.0546875"
"33","12906","12906","12906","0.037109375","0.037109375","0.037109375"
"34","13297","13297","13297","0.02734375","0.02734375","0.02734375"
"35","13688","13688","13688","0.0546875","0.0546875","0.0546875"
