experiment_name,wandb_links,notes
gemma3-1b-iter1,"https://wandb.ai/tplr/grail-basilica-sweep/runs/m2w0xacc;https://wandb.ai/tplr/grail-basilica-sweep/runs/d9u5ay2h;https://wandb.ai/tplr/grail-basilica-sweep/runs/h28n3rq2;https://wandb.ai/tplr/grail-basilica-sweep/runs/n3j6wl85",seed1337 (d9u5ay2h) crashed but nearly complete (step 156812)
gemma3-4b-iter1,"https://wandb.ai/tplr/grail-basilica-sweep/runs/5ypmj6xl;https://wandb.ai/tplr/grail-basilica-sweep/runs/gt2591if;https://wandb.ai/tplr/grail-basilica-sweep/runs/4eia4zw5;https://wandb.ai/tplr/grail-basilica-sweep/runs/b21mvduy",all FINISHED; end time matches R2 upload
llama3.2-3b-iter1,"https://wandb.ai/tplr/grail-lium-sweep/runs/1i44i1f0;https://wandb.ai/tplr/grail-lium-sweep/runs/2soasdol;https://wandb.ai/tplr/grail-lium-sweep/runs/j0rdkqdn;https://wandb.ai/tplr/grail-lium-sweep/runs/v5zov7ra",
qwen2.5-0.5b-iter1,"https://wandb.ai/tplr/grail-lium-sweep/runs/c7grlyaj;https://wandb.ai/tplr/grail-lium-sweep/runs/jxxlxr5n;https://wandb.ai/tplr/grail-lium-sweep/runs/syubewu9;https://wandb.ai/tplr/grail-lium-sweep/runs/wlktezlf",
qwen2.5-1.5b-iter1,"https://wandb.ai/tplr/grail-lium-sweep/runs/6pdp4lu1;https://wandb.ai/tplr/grail-lium-sweep/runs/f2zf12pm;https://wandb.ai/tplr/grail-lium-sweep/runs/tsbvmqgz;https://wandb.ai/tplr/grail-lium-sweep/runs/x5r5p4k8",
qwen2.5-1.5b-iter16-partial,"https://wandb.ai/tplr/grail-basilica-sweep/runs/hi1k0yi7;https://wandb.ai/tplr/grail-basilica-sweep/runs/wv0j64i9;https://wandb.ai/tplr/grail-basilica-sweep/runs/z1434smi",
qwen2.5-1.5b-iter16,"https://wandb.ai/tplr/grail-basilica-sweep/runs/fsrx11vx;https://wandb.ai/tplr/grail-basilica-sweep/runs/n4ginz0g;https://wandb.ai/tplr/grail-basilica-sweep/runs/rz7829il;https://wandb.ai/tplr/grail-basilica-sweep/runs/uhv1rebx;https://wandb.ai/tplr/grail-lium-sweep/runs/m9x9v5yx",
qwen2.5-1.5b-iter32,"https://wandb.ai/tplr/grail-basilica-sweep/runs/oasf8hzh;https://wandb.ai/tplr/grail-basilica-sweep/runs/9ve28ero;https://wandb.ai/tplr/grail-basilica-sweep/runs/b51nbsps;https://wandb.ai/tplr/grail-basilica-sweep/runs/pvbqpg8t",Jan 24-25 runs (latest FINISHED set)
qwen2.5-1.5b-iter8,"https://wandb.ai/tplr/grail-basilica-sweep/runs/f8jasthc;https://wandb.ai/tplr/grail-basilica-sweep/runs/h8myrqv9;https://wandb.ai/tplr/grail-basilica-sweep/runs/kbo2cc99;https://wandb.ai/tplr/grail-basilica-sweep/runs/mh9r5qi9;https://wandb.ai/tplr/grail-lium-sweep/runs/3qcudy5k",
qwen2.5-1.5b-lr1e-6,"https://wandb.ai/tplr/grail-basilica-sweep/runs/3doxwx0o;https://wandb.ai/tplr/grail-basilica-sweep/runs/h4rshad7;https://wandb.ai/tplr/grail-basilica-sweep/runs/opewdqc4;https://wandb.ai/tplr/grail-basilica-sweep/runs/rk0uuvus",
qwen2.5-1.5b-lr5e-6,"https://wandb.ai/tplr/grail-basilica-sweep/runs/9y9cicwa;https://wandb.ai/tplr/grail-basilica-sweep/runs/fevr7kh5;https://wandb.ai/tplr/grail-basilica-sweep/runs/jbt56zt2;https://wandb.ai/tplr/grail-basilica-sweep/runs/kz7uo8ea",
qwen2.5-1.5b-lr5e-7,"https://wandb.ai/tplr/grail-basilica-sweep/runs/7x0k9o45;https://wandb.ai/tplr/grail-basilica-sweep/runs/af18jco2;https://wandb.ai/tplr/grail-basilica-sweep/runs/amguw82j;https://wandb.ai/tplr/grail-basilica-sweep/runs/mipi71k6",
qwen2.5-1.5b-sft-math-lr2e-05,"https://wandb.ai/tplr/grail-basilica-sweep/runs/bg9zn82d;https://wandb.ai/tplr/grail-basilica-sweep/runs/o67b65sp;https://wandb.ai/tplr/grail-basilica-sweep/runs/vil05d5c;https://wandb.ai/tplr/grail-basilica-sweep/runs/ycanbf00",
qwen2.5-1.5b-sft-math-lr3e-06,"https://wandb.ai/tplr/grail-basilica-sweep/runs/idhewvhy;https://wandb.ai/tplr/grail-basilica-sweep/runs/jyrd9l4g;https://wandb.ai/tplr/grail-basilica-sweep/runs/k9g8x89c;https://wandb.ai/tplr/grail-basilica-sweep/runs/q68t1uib",
qwen2.5-7b-grpo-math-lr3e-06,"https://wandb.ai/tplr/grail-basilica-sweep/runs/xavn52r7;https://wandb.ai/tplr/grail-basilica-sweep/runs/ziq4mj85;https://wandb.ai/tplr/grail-basilica-sweep/runs/h4p3v76e;https://wandb.ai/tplr/grail-basilica-sweep/runs/zxgye6kd",all FINISHED; end time matches R2 upload
