"block_number","trainer_grail - _step","trainer_grail - _step__MIN","trainer_grail - _step__MAX","trainer_grail - eval/pass@1","trainer_grail - eval/pass@1__MIN","trainer_grail - eval/pass@1__MAX"
"6991713","16.5","7","26","0.03119999999999998","0.03119999999999998","0.03119999999999998"
"6992340","1706.5","1697","1716","0.2715999999999999","0.2715999999999999","0.2715999999999999"
"6992970","3581.5","3572","3591","0.3632000000000003","0.3632000000000003","0.3632000000000003"
"6993600","5456.5","5447","5466","0.38640000000000024","0.38640000000000024","0.38640000000000024"
"6994230","7239.5","7230","7249","0.4076000000000002","0.4076000000000002","0.4076000000000002"
"6994860","9115.5","9106","9125","0.40760000000000046","0.40760000000000046","0.40760000000000046"
"6995490","10990.5","10981","11000","0.4064","0.4064","0.4064"
"6996120","12865.5","12856","12875","0.40360000000000046","0.40360000000000046","0.40360000000000046"
"6996750","14740.5","14731","14750","0.4071999999999998","0.4071999999999998","0.4071999999999998"
"6997380","16593.5","16584","16603","0.4155999999999998","0.4155999999999998","0.4155999999999998"
"6998010","18435.5","18426","18445","0.4208000000000004","0.4208000000000004","0.4208000000000004"
