model,experiment,file_name,file_path,step,sample_idx,original_size_bytes,num_layers,total_nnz,total_params,sparsity_pct,method,compressed_size_bytes,compression_ratio,space_savings_pct,preprocess_time,compress_time,decompress_time,total_time,compress_speed_mb_s,decompress_speed_mb_s,is_lossless,original_hash,decompressed_hash,indices_orig_bytes,indices_comp_bytes,values_orig_bytes,values_comp_bytes,metadata_orig_bytes,metadata_comp_bytes,error_msg
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,zstd-1,27289270,3.411089523464717,70.68385355702192,0,0.36995212733745575,0.17622221540659666,0.36995212733745575,239.960409016498,503.76091111777214,True,43a551a8fdec68d1,43a551a8fdec68d1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,zstd-3,25818615,3.605388708883106,72.26373962019245,0,0.6883469391614199,0.1644308501854539,0.6883469391614199,128.96674444513167,539.8856947604147,True,43a551a8fdec68d1,43a551a8fdec68d1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,zstd-9,23827729,3.906630925674872,74.40249619108185,0,2.724808447062969,0.16060687601566315,2.724808447062969,32.579854884150656,552.7401191949078,True,43a551a8fdec68d1,43a551a8fdec68d1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,brotli-6,23254758,4.002885904037359,75.01802389642462,0,4.207627917639911,0.38647476956248283,4.207627917639911,21.098316089273723,229.7015763614215,True,43a551a8fdec68d1,43a551a8fdec68d1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,gzip-6,27395711,3.3978363620495196,70.56950678469943,0,6.93472323846072,0.3896953044459224,6.93472323846072,12.801356411755563,227.80326778286468,True,43a551a8fdec68d1,43a551a8fdec68d1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,downcast+zstd-3,23962928,3.8845896878711983,74.25725545423018,0.14670874644070864,0.2529782447963953,0.1004124041646719,0.39968699123710394,350.9150119365694,884.0926032090042,True,43a551a8fdec68d1,e7f14828626671d6,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,downcast+zstd-9,23279217,3.998680153202747,74.99174823475069,0.12807117030024529,1.6560831991955638,0.10460330452769995,1.784154369495809,53.604712514166565,848.6716953469789,True,43a551a8fdec68d1,e7f14828626671d6,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,separate+zstd-3,25642606,3.6301358372078094,72.45282146881948,0.10397621896117926,0.5664325626567006,0.15809011366218328,0.6704087816178799,156.7245064020496,561.5396291137909,True,43a551a8fdec68d1,677b04f7246fbc14,74350576,20150982,18587712,5487007,36424,4617,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,separate+zstd-9,23666493,3.9332461721303615,74.57570779358642,0.0979923689737916,2.7410833882167935,0.1564123658463359,2.839075757190585,32.38641486575536,567.5629501035327,True,43a551a8fdec68d1,677b04f7246fbc14,74350576,18350841,18587712,5311112,36424,4540,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,delta-enc+zstd-3,8597079,10.827647739424053,90.76438369564845,1.082810204476118,0.2532528229057789,0.13249643240123987,1.336063027381897,350.5345479424219,670.0094650366503,True,43a551a8fdec68d1,09242de111f80bf4,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,delta-enc+zstd-9,7934395,11.731977422349152,91.47628772200821,1.1126635447144508,1.4462497606873512,0.11502256523817778,2.558913305401802,61.38211130989461,771.7952004338885,True,43a551a8fdec68d1,09242de111f80bf4,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000000.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000000.pt,0,0,93086143,256,9293856,3879936256,99.7604636935561,combined+zstd-9,7742585,12.02261815659757,91.68234417017365,1.1357666160911322,1.4570343988016248,0.11704614758491516,2.592801014892757,60.92777484555874,758.4518211333301,True,43a551a8fdec68d1,913c5208c668c62e,74350576,2426933,18587712,5311112,36424,4540,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,zstd-1,166859980,3.743096595121251,73.28415191573202,0,1.9132986553013325,0.8315553851425648,1.9132986553013325,311.3153553445114,716.2953441197324,True,1a7e64e86b33dd3f,1a7e64e86b33dd3f,0,0,0,0,0,0,
